term_id,name,slug,description,display_type,parent,thumbnail
832,"Додатки до піци",dodatky-do-pitsy-pepperoni-pizza,,default,742,
834,Гарніри,garniry-avalon,,default,774,
829,Квіти,kvity,,default,817,
612,"Паляниці XXL",palyanytsi-xxl,,default,588,
691,"Домашні страви",domashni-stravy-randevu,,default,375,
815,"Sushi Zoom",sushizoom,"11:00 - 22:00",default,0,https://tyk-tyk.biz/wp-content/uploads/2025/02/photo_2025-02-12-13.06.40.jpeg
596,Ексклюзиви,eksklyuzyvy,,default,567,
662,"Доставка продуктів",dostavka-produktiv-impofood-produkty-z-yevropy,,default,466,
726,Напої,napoyi-pyvna-zatoka,,default,513,
816,Сети,sety-redington-sushizoom,,default,815,
663,"Доставка продуктів",dostavka-produktiv-bee-honey,,default,614,
664,"Доставка продуктів",dostavka-produktiv-perfect-fish,,default,637,
765,Сніданки,snidanky-kvitkovo,,default,764,
382,БУРГЕРИ,burgery,,default,376,
404,Шашлик,shashlyk,,default,377,
665,"Доставка продуктів",dostavka-produktiv-hobi-market,,default,486,
696,Вареники,varenyky-garyachyj-pelmen,,default,694,
472,Шоколад,shokolad,,default,470,
678,Фастфуд,fastfood,,default,617,
802,"КУХНЯ SAKARTVELO",kuhnya-sakartvelo,,default,452,
803,"Суші рол",sushi-nash-kraj,,default,729,
788,Вазони,vazonu,,default,787,
681,Фастфуд,fastfood-piccadilly,,default,451,
771,"Корисні солодощі",korusnisolodoshchi,,default,446,
735,"Суші Бургери",sushi-burgery,,default,373,
755,Суші,sushi,,default,754,
790,AVOCADO_ASIADFOOD,avocado_asiadfood,"11:00 - 21:00",default,364,https://tyk-tyk.biz/wp-content/uploads/2024/06/IMG_8621-scaled-e1719499046779.jpg
808,"Снеки та гарніри",sneky-ta-garniry,,default,774,
683,Фастфуд,fastfood-shauroom,,default,572,
412,"Піца на вагу",pitsa-na-vagu,,default,379,
412,"Піца на вагу",pitsa-na-vagu,,default,379,
553,Бургери,buregry,,default,550,
687,Напої,napoyi-beer-club,,default,650,
758,Шашлик,shashlyk-la-pizza-di-sergio,,default,741,
794,"СУШІ ДРАКОНИ",sushi_drakon,,default,790,
502,Слойки,slojky,,default,501,
583,Сети,sety-redington-prima-pizza,,default,372,
760,Шаурма,shaurma-cono-pizza,,default,759,
813,"Страви на пательні",stravy-na-patelni,,default,742,
531,"Перші страви",pershi-stravy-dynastiya,,default,530,
610,Піца,pitsa-myslyvskyj-dvir,,default,609,
