post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Смаки,attribute_data:Смаки,attribute_default:Смаки
"Картопля фрі",kartoplya,,10533,,"&nbsp;
<div class=""ingradient"">Вершковий соус</div>",publish,,0,"2019-11-13 14:31:05",2,closed,,,,no,yes,,90,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/bulba.jpg ! alt :  ! title : бульба ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/kartoplya/,,,,,,,,,60,,,simple,,"REDINGTON > ЗАКУСКИ ФРІ|REDINGTON",,,,,
"Картопляні діпи",kartoplyani-dipy,,10534,,"<br><div class=""ingradient"">соус Грибний</div>",publish,,0,"2019-11-13 14:31:26",2,closed,,,,no,yes,,80,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/FRI.jpg ! alt :  ! title : ФРІ ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/kartoplyani-dipy/,,,,,,,,,60,,,simple,,"REDINGTON > ЗАКУСКИ ФРІ|REDINGTON",,,,,
"Картопляні кульки",kartoplyani-kulky,,10535,,"<br><div class=""ingradient"">Сирний соус</div>",publish,,0,"2019-11-13 14:31:58",2,closed,,,,no,yes,,90,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/KULKY.jpg ! alt :  ! title : КУЛЬКИ ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/kartoplyani-kulky/,,,,,,,,,60,,,simple,,"REDINGTON > ЗАКУСКИ ФРІ|REDINGTON",,,,,
"Курячі нагетси",kuryachi-nagetsy,,10536,,"&nbsp;
<div class=""ingradient"">соус Часниковий</div>",publish,,0,"2019-11-13 14:32:19",2,closed,,,,no,yes,,120,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/NAGETS.jpg ! alt :  ! title : НАГЕТС ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/kuryachi-nagetsy/,,,,,,,,,60,,,simple,,"REDINGTON > ЗАКУСКИ ФРІ|REDINGTON",,,,,
"Сирні палички",syrni-palychky,,10537,,"<br><div class=""ingradient"">соус Ягідний</div>",publish,,0,"2019-11-13 14:32:41",2,closed,,,,no,yes,,100,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/PALKY.jpg ! alt :  ! title : ПАЛКИ ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/syrni-palychky/,,,,,,,,,60,,,simple,,"REDINGTON > ЗАКУСКИ ФРІ|REDINGTON",,,,,
DB,db,,10539,"пшенична булочка, дві котлети з
яловичини, два сири, помідор, маринована
цибуля, салат,соус","&nbsp;
<div class=""ingradient"">пшенична булочка, дві котлети з яловичини, два сири, помідор, маринована цибуля, салат,соус</div>",publish,,0,"2019-11-13 14:38:28",2,closed,,,,no,yes,,180,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/db-e1707138674581.jpg ! alt :  ! title : дб ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/db/,,,,,,,,,90,,,simple,,"REDINGTON > БУРГЕРИ|REDINGTON",,,,,
ТЕХАС,tehas,,10540,"пшенична булочка, котлета з
свинини, сир, маринована цибуля,
помідор, салат, соус
BBQ","&nbsp;
<div class=""ingradient"">пшенична булочка, котлета зі свинини, сир, маринована цибуля, помідор, салат, соус BBQ</div>",publish,,0,"2019-11-13 14:40:12",2,closed,,,,no,yes,,180,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/tehas.jpg ! alt :  ! title : техас ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/tehas/,,,,,,,,,90,,,simple,,"REDINGTON > БУРГЕРИ|REDINGTON",,,,,
АЙДАХО,ajdaho,,10541,"пшенична булочка, котлета з рубленої
індички, сир, соус з песто, авокадо помідор","&nbsp;
<div class=""ingradient"">пшенична булочка, котлета з рубленої індички, сир, соус з песто, авокадо помідор</div>",publish,,0,"2019-11-13 14:41:20",2,closed,,,,no,yes,,180,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/ajdaho.jpg ! alt :  ! title : айдахо ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/ajdaho/,,,,,,,,,90,,,simple,,"REDINGTON > БУРГЕРИ|REDINGTON",,,,,
БІФБУРГЕР,bifburger,,10542,"пшенична булочка, котлета з яловичини,
сир, маринована цибуля, огірки, салат,
соус","&nbsp;
<div class=""ingradient"">пшенична булочка, котлета з яловичини, сир, маринована цибуля, огірки, салат, соус</div>",publish,,0,"2019-11-13 14:42:13",2,closed,,,,no,yes,,120,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/bifburger/,,,,,,,,,90,,,simple,,"REDINGTON > БУРГЕРИ|REDINGTON",,,,,
"СПАЙС ЧІКЕН",spajs-chiken,,10543,"пшенична булочка, куряче філе, сир, гриби,
огірки, вершковий соус з перцем","&nbsp;
<div class=""ingradient"">пшенична булочка, куряче філе, сир, гриби, огірки, вершковий соус з перцем</div>",publish,,0,"2019-11-13 14:43:06",2,closed,,,,no,yes,,120,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/chiken.jpg ! alt :  ! title : чікен ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/spajs-chiken/,,,,,,,,,90,,,simple,,"REDINGTON > БУРГЕРИ|REDINGTON",,,,,
